playerID,year,tmID,GP,GS,minutes,oRebounds,dRebounds,dq,PostGP,PostGS,PostMinutes,PostoRebounds,PostdRebounds,PostDQ,Postperformance,performance,points_precision,Postpoints_precision
jacksgw01w,5,SAS,33.0,26.0,975.0,86.0,119.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,401.0,0.0
jacksgw01w,6,PHO,22.0,10.0,467.0,39.0,56.333333333333336,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.33333333333334,169.33333333333334,0.0
jacksla01w,3,SEA,29.0,29.0,1001.0,57.0,136.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0,642.0,0.0
jacksla01w,4,SEA,28.5,28.5,941.5,61.5,130.0,2.0,1.0,1.0,34.0,2.5,2.5,0.0,16.0,664.5,647.0,21.0
jacksla01w,5,SEA,30.5,30.5,995.5,74.0,174.5,1.0,1.0,1.0,34.0,2.5,2.5,0.0,16.0,838.0,656.0,21.0
jacksla01w,6,SEA,32.0,32.0,1089.5,73.0,184.0,0.5,4.0,4.0,143.5,10.0,20.0,0.0,103.0,909.5,618.0,65.0
jacksla01w,7,SEA,32.5,32.5,1123.0,80.0,180.0,1.0,5.5,5.5,194.5,12.0,30.0,0.0,132.0,868.0,589.0,92.0
jacksla01w,8,SEA,32.0,32.0,1012.0,83.0,188.5,1.5,3.0,3.0,96.5,4.0,20.0,0.0,67.0,859.5,502.5,43.5
jacksla01w,9,SEA,30.5,30.5,934.0,75.0,190.0,1.0,2.5,2.5,79.5,4.0,19.5,0.0,64.5,916.0,488.5,30.0
jacksla01w,10,SEA,26.0,26.0,857.0,59.5,164.0,0.5,1.0,1.0,34.0,2.0,9.5,0.0,26.5,789.5,505.0,13.5
jacksta01w,2,HOU,29.0,1.0,339.0,18.0,43.0,0.0,6.0,0.0,94.0,9.0,8.0,0.0,30.0,83.0,57.0,12.0
jacksta01w,3,HOU,30.5,2.5,390.5,29.0,47.0,0.0,3.5,0.0,54.5,5.5,4.5,0.0,17.0,125.0,82.5,10.5
jacksta02w,2,POR,17.0,0.0,267.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,163.0,0.0
jacksta02w,3,POR,24.5,0.5,382.0,9.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,215.5,0.0
jacksta02w,4,PHO,32.0,5.5,594.5,15.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.5,339.0,0.0
jacksta02w,5,WAS,33.0,22.0,825.0,22.0,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.5,476.0,0.0
jacksta02w,6,WAS,29.5,23.0,681.5,15.5,44.0,0.0,1.5,0.0,21.0,0.0,0.5,0.0,6.5,317.5,359.0,8.0
jacksta02w,7,PHO,16.5,6.0,235.5,4.0,17.5,0.0,1.5,0.0,21.0,0.0,0.5,0.0,6.5,105.0,115.0,8.0
jacksti02w,9,NYL,34.0,0.0,474.0,31.0,73.0,0.0,3.0,0.0,43.0,5.0,8.0,0.0,34.0,216.0,214.0,20.0
jacksti02w,10,NYL,29.5,0.0,485.0,39.0,84.5,0.0,1.5,0.0,21.5,2.5,4.0,0.0,17.0,265.5,196.5,10.0
jacobam01w,6,MIN,32.0,0.0,391.0,3.0,33.0,0.0,2.0,0.0,36.0,0.0,1.0,0.0,7.0,116.0,181.0,6.0
